MATCH UP,W/L
ATL @ UTA,L
PHI @ MIA,W
MIA vs. PHI,L
LAC vs. LAL,L
LAL @ LAC,W
NJN vs. IND,W
IND @ NJN,L
SAS vs. NOH,W
NOH @ SAS,L
POR @ SEA,L
SEA vs. POR,W
CHA vs. SAC,L
SAC @ CHA,W
DAL @ MEM,W
MEM vs. DAL,L
NOH vs. HOU,L
HOU @ NOH,W
NJN @ IND,L
IND vs. NJN,W
MIL @ DET,L
DET vs. MIL,W
CLE vs. WAS,W
WAS @ CLE,L
ORL vs. PHI,W
PHI @ ORL,L
LAC vs. UTA,W
UTA @ LAC,L
PHX vs. BOS,W
BOS @ PHX,L
TOR @ NYK,L
NYK vs. TOR,W
CHI vs. DEN,W
DEN @ CHI,L
ATL @ GSW,W
GSW vs. ATL,L
SAS @ MIN,W
MIN vs. SAS,L
SEA @ POR,L
POR vs. SEA,W
HOU vs. MIA,W
MIA @ HOU,L
TOR vs. ORL,W
ORL @ TOR,L
NOH vs. DAL,W
DAL @ NOH,L
SAC vs. ATL,W
ATL @ SAC,L
DET @ MIL,L
MIL vs. DET,W
CLE @ IND,W
IND vs. CLE,L
MEM @ LAC,L
LAC vs. MEM,W
NJN vs. CHI,W
CHI @ NJN,L
LAL @ PHX,W
PHX vs. LAL,L
GSW vs. BOS,W
BOS @ GSW,L
NYK @ PHI,L
PHI vs. NYK,W
MEM @ SEA,L
SEA vs. MEM,W
WAS vs. NYK,L
NYK @ WAS,W
MIN vs. PHI,W
PHI @ MIN,L
DEN vs. BOS,W
BOS @ DEN,L
UTA vs. GSW,W
GSW @ UTA,L
SAC @ POR,W
POR vs. SAC,L
DET vs. ORL,L
ORL @ DET,W
CLE vs. HOU,L
HOU @ CLE,W
ATL @ LAL,L
LAL vs. ATL,W
SAS vs. CHA,W
CHA @ SAS,L
DAL @ PHX,L
PHX vs. DAL,W
MIA @ CHI,L
CHI vs. MIA,W
UTA @ SEA,W
SEA vs. UTA,L
ATL @ CHA,L
CHA vs. ATL,W
TOR vs. NJN,W
NJN @ TOR,L
MIN vs. LAL,L
LAL @ MIN,W
DAL vs. POR,W
POR @ DAL,L
MIL vs. NOH,L
NOH @ MIL,W
SAC @ HOU,L
HOU vs. SAC,W
DET vs. IND,W
IND @ DET,L
SAS @ CLE,W
CLE vs. SAS,L
DEN @ ORL,L
ORL vs. DEN,W
WAS @ LAC,W
LAC vs. WAS,L
BOS vs. NYK,W
NYK @ BOS,L
PHX @ GSW,L
GSW vs. PHX,W
MEM @ PHI,L
PHI vs. MEM,W
MEM vs. SAC,W
SAC @ MEM,L
ATL vs. DET,L
DET @ ATL,W
BOS @ IND,W
IND vs. BOS,L
DEN @ MIA,W
MIA vs. DEN,L
MIN @ NJN,L
NJN vs. MIN,W
NOH @ CHI,W
CHI vs. NOH,L
LAL @ CHA,W
CHA vs. LAL,L
SAS @ TOR,W
TOR vs. SAS,L
LAC @ MIL,W
MIL vs. LAC,L
HOU vs. POR,W
POR @ HOU,L
CLE @ ORL,W
ORL vs. CLE,L
WAS @ GSW,L
GSW vs. WAS,W
DAL @ PHI,L
PHI vs. DAL,W
TOR @ MIN,W
MIN vs. TOR,L
LAL @ MIA,W
MIA vs. LAL,L
DET vs. CHA,W
CHA @ DET,L
CLE vs. DEN,L
DEN @ CLE,W
SAS @ BOS,L
BOS vs. SAS,W
WAS @ PHX,L
PHX vs. WAS,W
NJN vs. DAL,W
DAL @ NJN,L
NOH vs. MEM,W
MEM @ NOH,L
MIL vs. NYK,L
NYK @ MIL,W
POR @ IND,L
IND vs. POR,W
CHI @ UTA,L
UTA vs. CHI,W
ATL @ HOU,L
HOU vs. ATL,W
GSW vs. SAC,W
SAC @ GSW,L
PHI vs. LAC,W
LAC @ PHI,L
NJN @ CHA,W
CHA vs. NJN,L
TOR vs. LAC,L
LAC @ TOR,W
MIN vs. BOS,L
BOS @ MIN,W
WAS @ DEN,L
DEN vs. WAS,W
UTA @ SAC,L
SAC vs. UTA,W
DAL vs. MEM,W
MEM @ DAL,L
ATL vs. CLE,L
CLE @ ATL,W
POR @ DET,L
DET vs. POR,W
ORL vs. LAL,L
LAL @ ORL,W
SEA @ PHX,L
PHX vs. SEA,W
NYK vs. SAS,L
SAS @ NYK,W
HOU vs. CLE,W
CLE @ HOU,L
CHI @ GSW,W
GSW vs. CHI,L
MIA @ PHI,L
PHI vs. MIA,W
WAS vs. SAS,L
SAS @ WAS,W
DEN vs. UTA,L
UTA @ DEN,W
SAC vs. SEA,L
SEA @ SAC,W
MIL @ DAL,L
DAL vs. MIL,W
LAL @ ATL,L
ATL vs. LAL,W
CHI @ POR,L
POR vs. CHI,W
DET vs. MIA,W
MIA @ DET,L
ORL vs. NJN,W
NJN @ ORL,L
BOS vs. LAC,W
LAC @ BOS,L
PHX vs. NOH,L
NOH @ PHX,W
IND @ NYK,W
NYK vs. IND,L
MEM vs. MIL,L
MIL @ MEM,W
IND vs. SAS,L
SAS @ IND,W
CLE vs. BOS,W
BOS @ CLE,L
NJN vs. LAL,L
LAL @ NJN,W
PHI vs. WAS,W
WAS @ PHI,L
CHI @ SEA,W
SEA vs. CHI,L
MIN vs. HOU,L
