TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
SAS,SAS @ CLE,04/03/2012,W,240,125,48,81,59.3,11,23,47.8,18,21,85.7,12,34,46,31,10,5,13,15,35
CLE,CLE vs. SAS,04/03/2012,L,240,90,34,82,41.5,9,24,37.5,13,15,86.7,10,17,27,23,7,1,14,14,-35
LAL,LAL vs. NJN,04/03/2012,W,240,91,39,81,48.1,7,22,31.8,6,6,100.0,11,39,50,27,4,1,16,16,4
NJN,NJN @ LAL,04/03/2012,L,240,87,34,85,40.0,6,18,33.3,13,15,86.7,10,28,38,23,8,4,6,11,-4
OKC,OKC vs. MEM,04/02/2012,L,240,88,33,73,45.2,5,21,23.8,17,24,70.8,9,34,43,14,6,8,18,20,-6
MEM,MEM @ OKC,04/02/2012,W,240,94,34,87,39.1,4,16,25.0,22,24,91.7,14,29,43,12,9,1,10,17,6
MIL,MIL @ WAS,04/02/2012,W,240,112,43,83,51.8,4,10,40.0,22,29,75.9,15,33,48,25,7,2,19,17,14
WAS,WAS vs. MIL,04/02/2012,L,240,98,36,81,44.4,7,18,38.9,19,20,95.0,9,26,35,22,8,2,18,24,-14
MIN,MIN @ SAC,04/02/2012,L,240,108,39,81,48.1,11,21,52.4,19,26,73.1,11,24,35,23,6,4,12,22,-8
SAC,SAC vs. MIN,04/02/2012,W,240,116,43,85,50.6,7,23,30.4,23,28,82.1,13,33,46,22,8,5,11,21,8
DAL,DAL vs. LAC,04/02/2012,L,240,75,30,77,39.0,5,23,21.7,10,17,58.8,8,30,38,14,4,4,13,10,-19
LAC,LAC @ DAL,04/02/2012,W,240,94,39,83,47.0,11,32,34.4,5,12,41.7,13,36,49,16,10,2,13,14,19
POR,POR vs. UTA,04/02/2012,L,240,97,35,81,43.2,12,22,54.5,15,18,83.3,12,28,40,24,6,6,16,19,-5
UTA,UTA @ POR,04/02/2012,W,240,102,41,84,48.8,4,15,26.7,16,21,76.2,12,30,42,23,9,1,15,17,5
HOU,HOU @ CHI,04/02/2012,W,240,99,42,89,47.2,4,13,30.8,11,14,78.6,13,25,38,23,11,5,8,18,6
CHI,CHI vs. HOU,04/02/2012,L,240,93,40,83,48.2,5,17,29.4,8,17,47.1,18,29,47,25,5,7,19,17,-6
CHI,CHI @ OKC,04/01/2012,L,240,78,30,91,33.0,8,24,33.3,10,15,66.7,18,30,48,17,10,2,12,14,-14
OKC,OKC vs. CHI,04/01/2012,W,240,92,36,74,48.6,4,9,44.4,16,17,94.1,3,37,40,20,6,9,13,15,14
WAS,WAS @ TOR,04/01/2012,L,240,92,34,71,47.9,8,20,40.0,16,20,80.0,6,25,31,25,2,4,13,22,-7
TOR,TOR vs. WAS,04/01/2012,W,240,99,37,77,48.1,4,17,23.5,21,23,91.3,12,31,43,22,8,3,13,22,7
POR,POR vs. MIN,04/01/2012,W,240,119,46,88,52.3,9,28,32.1,18,20,90.0,13,31,44,22,3,4,10,21,13
MIN,MIN @ POR,04/01/2012,L,240,106,36,78,46.2,5,21,23.8,29,35,82.9,8,28,36,16,7,4,8,19,-13
HOU,HOU vs. IND,04/01/2012,L,265,102,44,101,43.6,9,21,42.9,5,10,50.0,18,26,44,25,8,7,9,23,-2
IND,IND @ HOU,04/01/2012,W,265,104,37,83,44.6,6,15,40.0,24,28,85.7,14,40,54,23,4,10,17,16,2
ORL,ORL vs. DEN,04/01/2012,L,240,101,37,88,42.0,8,32,25.0,19,25,76.0,18,23,41,15,6,3,12,15,-3
DEN,DEN @ ORL,04/01/2012,W,240,104,40,72,55.6,8,19,42.1,16,21,76.2,7,31,38,21,5,3,17,22,3
BOS,BOS vs. MIA,04/01/2012,W,240,91,33,70,47.1,5,13,38.5,20,22,90.9,5,44,49,21,7,3,16,18,19
MIA,MIA @ BOS,04/01/2012,L,240,72,31,89,34.8,3,16,18.8,7,17,41.2,15,32,47,15,4,6,12,15,-19
NOH,NOH @ PHX,04/01/2012,L,240,75,32,77,41.6,4,9,44.4,7,9,77.8,9,28,37,18,11,1,19,21,-17
PHX,PHX vs. NOH,04/01/2012,W,240,92,35,71,49.3,3,15,20.0,19,21,90.5,9,34,43,21,6,4,19,15,17
GSW,GSW @ LAL,04/01/2012,L,240,112,44,90,48.9,11,21,52.4,13,15,86.7,8,21,29,31,9,5,5,23,-8
LAL,LAL vs. GSW,04/01/2012,W,240,120,44,82,53.7,10,19,52.6,22,31,71.0,15,35,50,31,4,7,15,17,8
DET,DET vs. CHA,03/31/2012,W,265,110,45,87,51.7,4,10,40.0,16,22,72.7,15,31,46,19,8,4,16,21,3
CHA,CHA @ DET,03/31/2012,L,265,107,40,86,46.5,8,22,36.4,19,22,86.4,8,25,33,28,10,4,14,20,-3
SAC,SAC vs. NJN,03/31/2012,L,240,99,39,90,43.3,3,17,17.6,18,23,78.3,15,30,45,17,12,5,18,22,-12
NJN,NJN @ SAC,03/31/2012,W,240,111,43,92,46.7,10,28,35.7,15,20,75.0,16,32,48,30,12,7,20,20,12
MIL,MIL vs. MEM,03/31/2012,L,240,95,34,82,41.5,5,17,29.4,22,28,78.6,9,30,39,21,12,4,15,19,-4
MEM,MEM @ MIL,03/31/2012,W,240,99,37,88,42.0,4,15,26.7,21,28,75.0,18,40,58,15,6,5,17,28,4
LAC,LAC vs. UTA,03/31/2012,W,240,105,39,72,54.2,10,21,47.6,17,24,70.8,5,30,35,23,6,5,12,23,9
UTA,UTA @ LAC,03/31/2012,L,240,96,35,77,45.5,4,12,33.3,22,31,71.0,13,25,38,21,4,3,14,23,-9
NYK,NYK vs. CLE,03/31/2012,W,240,91,30,76,39.5,9,28,32.1,22,32,68.8,17,30,47,14,13,5,17,19,16
CLE,CLE @ NYK,03/31/2012,L,240,75,28,72,38.9,2,13,15.4,17,27,63.0,11,27,38,13,7,1,20,25,-16
LAL,LAL vs. NOH,03/31/2012,W,240,88,32,77,41.6,7,22,31.8,17,22,77.3,12,35,47,28,5,5,15,11,3
NOH,NOH @ LAL,03/31/2012,L,240,85,39,92,42.4,2,10,20.0,5,10,50.0,14,33,47,21,10,2,8,17,-3
SAS,SAS vs. IND,03/31/2012,W,240,112,38,76,50.0,9,19,47.4,27,33,81.8,10,30,40,22,8,5,10,17,9
IND,IND @ SAS,03/31/2012,L,240,103,42,79,53.2,5,14,35.7,14,18,77.8,4,28,32,21,7,8,14,24,-9
